"timestamp","utc_time","accel_x[counts]","accel_y[counts]","accel_z[counts]"
19264.0,"1094380243.008148193359375",1264,176,-368
19591.0,"1094380243.01812744140625",1312,176,-144
19918.0,"1094380243.028106689453125",1312,272,-608
20245.0,"1094380243.0380859375",1376,208,-880
20570.25,"1094380243.048004150390625",1504,-112,-368
20895.5,"1094380243.05792236328125",1312,64,-800
21220.75,"1094380243.067840576171875",1264,128,-496
21546.0,"1094380243.077789306640625",1248,0,-144
21871.25,"1094380243.08770751953125",1152,80,-448
22196.5,"1094380243.097625732421875",1104,160,-688
22521.75,"1094380243.1075439453125",1232,80,-1360
22847.0,"1094380243.11749267578125",1232,192,256
23172.25,"1094380243.127410888671875",1344,112,464
23497.5,"1094380243.1373291015625",1296,192,-816
23822.75,"1094380243.147247314453125",1136,144,64
24148.0,"1094380243.157196044921875",1328,352,-560
24472.75,"1094380243.167083740234375",1328,320,-928
24797.5,"1094380243.177001953125",1248,16,608
25122.25,"1094380243.186920166015625",1312,176,-32
25447.0,"1094380243.19683837890625",1136,144,-672
25772.5,"1094380243.206756591796875",1200,144,176
26098.0,"1094380243.216705322265625",1264,-32,-528
26423.5,"1094380243.22662353515625",1088,240,-144
26749.0,"1094380243.236572265625",1200,96,-336
27074.25,"1094380243.246490478515625",1360,-48,-512
27399.5,"1094380243.25640869140625",1088,160,-576
27724.75,"1094380243.266326904296875",1024,400,-448
28050.0,"1094380243.276275634765625",1072,272,-448
28375.0,"1094380243.28619384765625",1184,96,-480
28700.0,"1094380243.296112060546875",1248,112,-432
29025.0,"1094380243.3060302734375",1312,144,-400
29350.0,"1094380243.315948486328125",1328,80,-384
29674.75,"1094380243.325836181640625",1296,112,-448
29999.5,"1094380243.33575439453125",1296,64,-448
30324.25,"1094380243.345672607421875",1360,112,-400
30649.0,"1094380243.3555908203125",1360,288,-304
30974.75,"1094380243.365509033203125",1264,160,-208
31300.5,"1094380243.375457763671875",1328,80,-400
31626.25,"1094380243.385406494140625",1392,160,-336
31952.0,"1094380243.395355224609375",1392,176,-320
32276.5,"1094380243.405242919921875",1328,160,-272
32601.0,"1094380243.4151611328125",1264,160,-208
32925.5,"1094380243.425048828125",992,112,-80
